Test_Battery,Train_Batteries,Seed,GRU_RMSE,GRU_MAE,GRU_MAPE,GRU_R2,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,LSTM_R2,XGB_RMSE,XGB_MAE,XGB_MAPE,XGB_R2,Weighted_RMSE,Weighted_MAE,Weighted_MAPE,Weighted_R2,Stack_EN_RMSE,Stack_EN_MAE,Stack_EN_MAPE,Stack_EN_R2
B0018,"B0005,B0006,B0007",42,2.8048901075314165,1.927074621219446,2.2530247133453467,0.7763016912237922,4.280947844258287,3.8068198780022047,4.855894209772372,0.478912239121649,2.6181113899145223,2.2415862130646658,2.8052278673716757,0.8051020642525464,2.878224341834918,2.4967838164507787,3.1090825687231014,0.7644515326159673,3.1321406178442444,2.673725014865989,3.3184557833041923,0.7210582621663443
B0018,"B0005,B0006,B0007",123,2.409430690671557,2.085099701834197,2.6241644627031326,0.834933145629471,3.360420973282632,2.7807241760858217,3.4337528585961272,0.6789162160985689,2.942680585122349,2.6069012632464417,3.2968323088020868,0.7537834469350488,2.744265961808591,2.371299659954349,2.9687022377760117,0.7858671007987326,2.5123719720227977,1.8796757613078203,2.263973709796532,0.8205271006678484
B0018,"B0005,B0006,B0007",2024,3.5293466885197557,2.834182588180693,3.382386626461383,0.6458235816170308,3.755942058602207,3.299159059430113,4.155880910437446,0.5988851255377906,2.789456208975454,2.4858285129660427,3.1288422029654246,0.7787567166159189,2.658922027647028,2.0630069987234605,2.4890354824742253,0.7989786417614149,3.04886764256828,2.374330954976601,2.820149639542246,0.735693318724426
B0007,"B0005,B0006,B0018",42,1.7326275952434536,1.455720219298871,1.7106519534408022,0.939084693050672,5.562568087135171,5.0703595015254335,5.889309572209515,0.3721344384804819,2.812667438331466,2.293681847788122,2.869595571980195,0.8394712759325489,2.5853133930512877,2.1187731697860177,2.41359531278592,0.8643741806448392,3.147800630074464,2.8169947714701187,3.30331633932998,0.798937805306479
B0007,"B0005,B0006,B0018",123,1.4217550413317008,1.0239779061644616,1.278446342837818,0.9589828447443862,1.6104767068213235,1.1666675762538492,1.3484627256948407,0.9473710290487466,3.096260665844792,2.580603829265511,3.2199363184714245,0.8054680168964965,1.189933216019965,0.8339159760256594,1.016730414703369,0.9712683109119912,1.5439968957969918,1.3219564952989564,1.6018109487307135,0.9516263532814764
B0007,"B0005,B0006,B0018",2024,1.898424627087435,1.5859062584647297,1.9529143024335425,0.9268687997907482,4.960883078780983,4.021457699963646,4.542261912929439,0.5006167565754363,2.9984308496001923,2.457298056052549,3.072981482210086,0.8175667236139474,2.433935300146606,2.002593371606901,2.2987965342111187,0.879791814478538,2.759254008376655,2.0268313554081603,2.265929399284646,0.845510365003682
B0006,"B0005,B0007,B0018",42,3.992613586790076,3.4775735896869295,4.86836103770076,0.8097896311771637,3.420088215541881,2.7688781292769162,3.783700919937412,0.8604293043109688,12.417277727979407,10.52469601596359,16.010285756234435,-0.839807633968757,3.0749922109722587,2.614533088905262,3.6440204390024773,0.8871743960158798,3.5434948300922495,3.0506643587655393,4.316397948415304,0.8501753630662399
B0006,"B0005,B0007,B0018",123,5.712322665965526,5.061837300766993,7.269173906240492,0.6106455981221959,3.976345408366635,2.9616165161132812,4.33817835937784,0.811336523720908,12.865841159651849,10.807719321146498,16.478296138946774,-0.9751314198971157,3.1027821619329043,2.6354757725906914,3.7249450355612232,0.8851258795921649,4.206095218224959,3.650805090465685,5.183012683735099,0.7889050581002919
B0006,"B0005,B0007,B0018",2024,4.899816980099609,4.349800722442404,6.18292806941933,0.7135298708842639,3.911016567350196,3.1305301694104273,4.272998464128768,0.8174848421629093,12.639490316874864,10.734628552067889,16.31937305641637,-0.9062451426844558,3.415865953605849,2.979744634208615,4.13645715846845,0.8607737049443529,3.4581464490471223,2.9409672813693972,4.200176258195873,0.8573057774721362
B0005,"B0006,B0007,B0018",42,3.3957049487519706,2.9676116052335195,3.7368790973676713,0.850586135664392,4.881383211692137,3.767818868595318,4.28873142051886,0.6912430022149796,4.035281703482211,3.711925757192347,4.783182738623547,0.7890018149705661,3.077304162789189,2.528974609734067,3.075964716936795,0.8772922898791273,4.510863561289802,4.418606277799954,5.463337362826919,0.7363362736185077
B0005,"B0006,B0007,B0018",123,4.26063450985554,3.756706070725935,4.864571415932049,0.764777119233129,4.0624418288823625,3.1782877010150545,3.799938362802617,0.7861519405774685,3.6861963194061302,3.3906851998210823,4.3647416870416444,0.8239289616756613,3.603276988423642,3.1316810538591326,3.993492075415186,0.8317611467719568,3.66455337946771,3.5488119751867586,4.465407453385501,0.8259904405665897
B0005,"B0006,B0007,B0018",2024,3.360202808737216,2.8932207761889828,3.6344078323707727,0.8536940514817729,4.297298210225652,3.4768457899998575,4.010701085700945,0.760711411404887,3.801553806331938,3.499699335028655,4.499156339320103,0.8127364351454547,2.9111450634110203,2.389610939130638,2.9379762356624792,0.8901857506817248,4.874891437835354,4.494841025693574,5.411487482145335,0.692063690819822
