Test_Battery,Train_Batteries,Seed,GRU_RMSE,GRU_MAE,GRU_MAPE,GRU_R2,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,LSTM_R2,XGB_RMSE,XGB_MAE,XGB_MAPE,XGB_R2,Weighted_RMSE,Weighted_MAE,Weighted_MAPE,Weighted_R2,Stack_LR_RMSE,Stack_LR_MAE,Stack_LR_MAPE,Stack_LR_R2,Stack_Ridge_RMSE,Stack_Ridge_MAE,Stack_Ridge_MAPE,Stack_Ridge_R2,Stack_EN_RMSE,Stack_EN_MAE,Stack_EN_MAPE,Stack_EN_R2
B0005,B0006+B0007+B0018,42,3.734527201723152,3.36059832572937,4.353944796478871,0.8192816376686096,5.098269090317336,3.9553699493408203,4.503269601035289,0.6631965637207031,3.436489719703513,3.1314728260040283,4.009543389685304,0.8469754457473755,2.4829951273169866,2.008657178118202,2.486902963436023,0.9201117812992076,4.203165614275777,3.1366875171661377,3.5607735027346474,0.7710798382759094,1.3743688695475094,1.0211070775985718,1.2314295687160384,0.9755241870880127,1.4128230020984525,1.1221141815185547,1.3708427105923333,0.9741353392601013
B0005,B0006+B0007+B0018,123,3.54901005011474,3.1411030292510986,4.057681887792041,0.8367905020713806,3.025761305164384,2.570891857147217,3.19150680532547,0.8813683986663818,3.5121847316670958,3.1954545974731445,4.094117861422909,0.8401598930358887,3.1661365834880275,2.8461250315412707,3.6442333785456302,0.8701056398843037,4.987470377210255,4.895026206970215,6.111626987147673,0.6776767373085022,4.666482013500557,4.562985897064209,5.650065001867829,0.7178304195404053,4.902789018934485,4.812067985534668,5.9971483918675395,0.6885291337966919
B0005,B0006+B0007+B0018,2024,3.1387001325929287,2.6328036785125732,3.2688196042623687,0.8723471164703369,5.392404279217431,4.374957084655762,5.021976295970795,0.6232130527496338,3.075112509801391,2.8430838584899902,3.6112943241644095,0.8774670362472534,2.6797771016050325,2.0891472680769883,2.5035913138521737,0.9069474354984921,1.258341375961033,0.9479926824569702,1.1872942534225421,0.9794823527336121,1.129643974679241,0.741332471370697,0.8773526495882145,0.9834645986557007,1.1619269732772572,0.9899678230285645,1.2418703755420635,0.9825060367584229
B0006,B0005+B0007+B0018,42,4.373768006293426,3.8891236782073975,5.4799449154444275,0.7717393040657043,3.7768388980829926,3.1863648891448975,4.326349359537518,0.8297933340072632,9.782420322981848,7.821141242980957,12.001306833116573,-0.14185845851898193,3.351314203382715,2.8891928102572324,3.9788315136052734,0.8659860767565666,3.426474071636707,2.9556002616882324,4.083412345840701,0.8599076271057129,2.9922188938974004,2.573270320892334,3.610444969705473,0.8931667804718018,3.202293623052419,2.7628097534179688,3.841189385084634,0.8776392936706543
B0006,B0005+B0007+B0018,123,5.9520903561819605,5.2852678298950195,7.635605379418137,0.5772743225097656,3.6130481871625775,2.798180341720581,3.985015777187174,0.8442359566688538,9.650077353053803,7.746150016784668,11.864650312310268,-0.11117184162139893,3.296503143667673,2.801384970992485,3.9275227251388865,0.8703338501872178,4.0942273043699755,3.5860676765441895,5.049460670673471,0.7999845743179321,3.4837060123618935,3.049487829208374,4.295178800421032,0.8551886081695557,3.8108889818719884,3.3393442630767822,4.697672863541208,0.8267104625701904
B0006,B0005+B0007+B0018,2024,5.088246373719335,4.546858787536621,6.524295115539713,0.691072940826416,3.6541733020010323,2.856163740158081,3.936518960023566,0.8406698703765869,9.611075497403862,7.7097649574279785,11.81019803141574,-0.10220813751220703,3.135647185651842,2.684749890622871,3.7168135655114205,0.8826794718753906,3.366424119981144,2.9015724658966064,4.0613661860506145,0.8647748827934265,3.070629462656808,2.630854368209839,3.71287168091755,0.8874943256378174,3.246298956782798,2.7902209758758545,3.9179239519717637,0.8742532730102539
B0007,B0005+B0006+B0018,42,3.1440250344675054,2.8340976238250732,3.5040894591512024,0.7994198799133301,2.7775986094442744,2.100452423095703,2.38607401135126,0.8434493541717529,2.8635015676130102,2.269514799118042,2.848064699599361,0.8336162567138672,2.1042712677320106,1.6319681040539666,1.9977483351737495,0.9101497203058773,3.2206202138357725,3.104827642440796,3.7585360078966055,0.7895276546478271,2.892215765305392,2.7842607498168945,3.3620390598721697,0.8302626609802246,3.039619610478227,2.9188966751098633,3.5363136129203077,0.8125202059745789
B0007,B0005+B0006+B0018,123,4.117442519453183,3.9670450687408447,4.820486482829622,0.6559900045394897,1.2314879540873784,0.9535631537437439,1.1220397703516107,0.9692265391349792,3.204625071527098,2.45039963722229,3.0906050669269183,0.7916131019592285,2.753667707046695,2.547412493543,3.121746917582742,0.8461352817552008,7.305648854686918,7.213551998138428,8.657440266330529,-0.08301281929016113,5.977798074895032,5.866507530212402,6.9709874129314455,0.27489906549453735,6.408485283143559,6.320189476013184,7.53794838209805,0.16665124893188477
B0007,B0005+B0006+B0018,2024,3.893223763996913,3.785435199737549,4.5798924180997505,0.6924365758895874,4.974982617218474,4.445392608642578,5.136855005196321,0.49777406454086304,3.099659679559896,2.4649064540863037,3.09541358669609,0.8050406575202942,1.7849803281628773,1.3362151428148183,1.6617448158848902,0.9353478679510588,1.4601459500769514,1.1151750087738037,1.2974967111032716,0.9567378163337708,1.4636369540688838,1.1396220922470093,1.3093879179434171,0.9565306901931763,1.3954543363070027,1.067941427230835,1.236319447852267,0.9604863524436951
B0018,B0005+B0006+B0007,42,4.672005641986106,4.408139705657959,5.424874939752818,0.37936288118362427,3.1867140754727146,2.625352621078491,3.2146463150372915,0.7112531661987305,2.760506672861318,2.316486358642578,2.866913850081347,0.7833250761032104,2.8624832807855585,2.023773542285024,2.37171289312644,0.7670209249915204,3.1343179258282747,2.6700096130371094,3.2541981995277642,0.7206703424453735,3.1119928889058515,2.710125684738159,3.3107281165037703,0.7246353626251221,3.143663748739155,2.696223735809326,3.288505284921554,0.7190020084381104
B0018,B0005+B0006+B0007,123,2.0549934652554085,1.3143270015716553,1.5449396040049228,0.8799251914024353,4.45404664256456,3.6782305240631104,4.406355888875962,0.43592023849487305,2.497664218731179,2.083345890045166,2.591434719638384,0.8226222395896912,2.689318662583774,1.9674060056575597,2.3183293990503793,0.7943562425467343,3.60200017888621,3.339672803878784,4.106421445888642,0.6310916543006897,3.458813706705007,3.205873727798462,3.9432300278777768,0.6598383188247681,3.527592613253487,3.2691268920898438,4.019971547251957,0.6461755037307739
