Battery,Seed,XGB_RMSE,XGB_MAE,XGB_MAPE,XGB_R2,GRU_RMSE,GRU_MAE,GRU_MAPE,GRU_R2,LSTM_RMSE,LSTM_MAE,LSTM_MAPE,LSTM_R2,Weighted_RMSE,Weighted_MAE,Weighted_MAPE,Weighted_R2,Stack_LR_RMSE,Stack_LR_MAE,Stack_LR_MAPE,Stack_LR_R2,Stack_Ridge_RMSE,Stack_Ridge_MAE,Stack_Ridge_MAPE,Stack_Ridge_R2,Stack_EN_RMSE,Stack_EN_MAE,Stack_EN_MAPE,Stack_EN_R2
B0005,42,9.28752073385766,9.247013092041016,13.061719810531772,-104.4542007446289,0.9958407810097613,0.8743878602981567,1.2391190017305924,-0.21239495277404785,2.8783682290682293,2.78311824798584,3.9385649492593737,-9.128777503967285,2.0878936647767428,1.9927124390723914,2.8218674321541517,-4.329434022496975,2.058799545164412,1.97571861743927,2.7849955820632455,-4.18194055557251,0.6237945136735576,0.5021937489509583,0.7089864221750044,0.5242843627929688,0.9076768232060556,0.7199745178222656,1.0085823070491595,-0.007225632667541504
B0005,123,9.397373611724706,9.35799789428711,13.218154555318185,-106.96358489990234,0.9207881727982781,0.8402252197265625,1.1862773238512603,-0.03653454780578613,2.982867754049276,2.882824182510376,4.080008101359301,-9.877579689025879,2.0861388195900905,1.9944670090270384,2.8224571218408863,-4.320479158991972,1.3017596440112773,1.1529470682144165,1.6221147566540954,-1.0716955661773682,0.7258873951206551,0.611824631690979,0.8619673294841269,0.35582655668258667,0.9572998915447993,0.6588169932365417,0.9237590594003549,-0.12036705017089844
B0005,2024,9.481594928861892,9.440725326538086,13.335280624722296,-108.9074478149414,1.840725762243553,1.74425208568573,2.4696083669548523,-3.1423091888427734,3.085006225678578,2.9793131351470947,4.216988034999607,-10.63526725769043,3.0045322952119635,2.931194733470498,4.146713216684653,-10.036162590317657,1.1301850991856712,0.9811471700668335,1.3782512739166533,-0.5615772008895874,0.815658263189565,0.6916653513908386,0.9799276735285918,0.1866437792778015,0.7347551133145659,0.537570059299469,0.752411926913541,0.3399914503097534
B0006,42,10.811883280370695,10.620849609375,17.83504802822449,-29.047779083251953,5.24627371654735,4.978914260864258,8.395295460845743,-6.0747575759887695,5.567259734458932,5.300970077514648,8.939103986313212,-6.9669599533081055,6.068268105615567,5.828576758698356,9.818627840971674,-8.465404813020458,1.1091553376553334,0.8954140543937683,1.482094844876885,0.6837762594223022,3.525477324288827,3.182011604309082,5.389187912662663,-2.1948137283325195,1.973927909462286,1.653996229171753,2.8148656578585856,-0.0015491247177124023
B0006,123,10.802569641722187,10.61057186126709,17.81806354134064,-28.99603271484375,4.818835163477131,4.559946060180664,7.690551425240057,-4.968893527984619,6.266524176634736,6.121448993682861,10.286843411428029,-9.093996047973633,6.169341367635719,5.972997281557549,10.050585575346144,-8.783342890563882,3.8503894064019835,3.4554572105407715,5.8226464053878,-2.8108246326446533,3.0939617662490178,2.7989718914031982,4.736959322962126,-1.4605915546417236,1.047618886351057,0.8869213461875916,1.4932193513006196,0.7178913950920105
B0006,2024,10.731854405209258,10.545945167541504,17.70812513623395,-28.604602813720703,5.362226167102903,5.181607246398926,8.722202710350595,-6.390944480895996,7.257728140908419,7.101655960083008,11.932840339270186,-12.539763450622559,7.006642681840491,6.837676683393614,11.494471906150151,-11.619135752666681,6.3941667437726375,5.694949626922607,9.646753213302246,-9.509391784667969,3.8100749573630566,3.5610592365264893,6.01653211262186,-2.7314422130584717,0.7130028205270073,0.6405620574951172,1.0818256546421408,0.8693251013755798
B0007,42,9.974436701498838,9.869303703308105,13.059098261054755,-131.5523681640625,1.1316131030137528,1.0362290143966675,1.374529901800543,-0.706108570098877,2.504849213194492,2.426422595977783,3.2150092779043673,-7.359376907348633,2.111985494257058,2.042044259632259,2.7061310077610377,-4.942819979667379,0.525063593736728,0.469851553440094,0.6208979317505273,0.6326885223388672,0.78144444906792,0.6862813234329224,0.9107242759437609,0.18640750646591187,0.48211487179226437,0.3755730986595154,0.49588818086109493,0.6903209686279297
B0007,123,10.461390034671279,10.201714515686035,13.498784197167222,-144.81072998046875,1.514848254444494,1.4372191429138184,1.9040106208551548,-2.0573766231536865,3.3532245489667787,3.2840843200683594,4.350175740912373,-13.980833053588867,2.9256108132132512,2.8702970357117925,3.800911898974001,-10.40364837910205,2.148854496108747,1.9809373617172241,2.6203890881262404,-5.152118682861328,0.9828009054352126,0.9018510580062866,1.1955760674447944,-0.2868911027908325,0.9534429113784008,0.7615236043930054,1.006233329416897,-0.21115601062774658
B0007,2024,10.943195364255974,10.602132797241211,14.028506328551508,-158.55081176757812,2.268058890175248,2.215428352355957,2.933941395211985,-5.853609561920166,4.325303021879404,4.260062217712402,5.641447951071372,-23.925495147705078,3.9102214798536,3.8566736756067526,5.106008157466686,-19.371050571222334,2.1073071551983347,1.9670894145965576,2.6065202051523815,-4.916520595550537,1.688307251171756,1.6017004251480103,2.124272848479331,-2.7976391315460205,0.5553700988556705,0.4759451150894165,0.6287600300243266,0.5890625715255737
B0018,42,4.616407092861448,4.4806365966796875,6.065963252146966,-15.706583023071289,1.7723048285893948,1.5018730163574219,2.0134789084260785,-1.4623868465423584,1.2873674287411334,0.9373790621757507,1.2491398522126407,-0.2992253303527832,0.9519873658532995,0.7150443103484946,0.9602859546152763,0.2895364527792975,0.9879597076721358,0.7892295718193054,1.0609783915457858,0.2348300814628601,1.401335329763646,1.2697681188583374,1.7203849675536893,-0.5394428968429565,1.6225030495213797,1.5301170349121094,2.0705603476598453,-1.063718557357788
