Model,RMSE_mean,RMSE_std,MAE_mean,MAE_std,MAPE_mean,MAPE_std,R2_mean,R2_std
GRU,2.4053,1.7147,2.2491,1.672,3.454,2.9751,-2.7472,2.5032
LSTM,3.5272,1.9639,3.3746,1.9804,5.0939,3.5052,-8.7579,6.648
XGB,8.8201,2.5805,8.6699,2.5553,12.658,4.3817,-74.1448,56.3462
Weighted,3.2231,2.1116,3.0894,2.0948,4.7067,3.6852,-6.8464,5.78
Stack_LR,1.9474,1.6658,1.7394,1.5038,2.6401,2.6131,-2.1568,3.2115
Stack_Ridge,1.6623,1.1463,1.5019,1.07,2.3041,1.9171,-0.7671,1.2107
Stack_EN,1.0582,0.4658,0.8943,0.4406,1.3041,0.6937,0.0583,0.6597
