loss,val_loss
0.13538053631782532,0.22034655511379242
0.0826127678155899,0.07532959431409836
0.03053394705057144,0.006931372452527285
0.023787274956703186,0.06805003434419632
0.02915763296186924,0.051116183400154114
0.020090265199542046,0.013859972357749939
0.024234676733613014,0.007362429518252611
0.015343372710049152,0.010932385921478271
0.015614718198776245,0.010808544233441353
0.015860920771956444,0.004899933002889156
0.014119531027972698,0.0018162932246923447
0.01384328305721283,0.0036485781893134117
0.00986352376639843,0.0033942279405891895
0.010341345332562923,0.001716506201773882
0.0120890187099576,0.003345839912071824
0.011277496814727783,0.004357606638222933
0.007152145262807608,0.003942700102925301
0.008724614046514034,0.005943684838712215
0.00824995432049036,0.012179364450275898
0.007471069693565369,0.013643025420606136
0.010406571440398693,0.008297418244183064
0.008751879446208477,0.0043629552237689495
0.0076630921103060246,0.0030043073929846287
0.009700019843876362,0.0030803417321294546
0.009069262072443962,0.003376035951077938
0.006743736565113068,0.004904280416667461
0.006789019796997309,0.003349236911162734
0.005630361381918192,0.0027998818550258875
0.006011657416820526,0.003937818575650454
