loss,val_loss
0.10722899436950684,0.08712059259414673
0.04378267005085945,0.004286830313503742
0.018148839473724365,0.0010082442313432693
0.01496407762169838,0.00220470386557281
0.008503102697432041,0.01576549932360649
0.008130604401230812,0.006410270929336548
0.014401434920728207,0.010827958583831787
0.008711126632988453,0.010433461517095566
0.011939680203795433,0.0009226328693330288
0.005701868794858456,0.0005877697258256376
0.00731488224118948,0.0020141422282904387
0.005500807426869869,0.004533621948212385
0.004908151458948851,0.008258406072854996
0.007281254976987839,0.0044881971552968025
0.007265944499522448,0.0005654716514982283
0.004721988458186388,0.001102734007872641
0.005596228409558535,0.0017497452208772302
0.005229165777564049,0.005280131008476019
0.006841817870736122,0.0028993862215429544
0.004987603519111872,0.0011842880630865693
0.004598699510097504,0.002302883192896843
0.005331238266080618,0.005588313098996878
0.0065106721594929695,0.00444648927077651
0.005255031865090132,0.0048483447171747684
0.005017831921577454,0.0017680703895166516
0.0052669355645775795,0.002489554462954402
0.003808087669312954,0.00380389834754169
0.005120985209941864,0.002127170329913497
0.0051322742365300655,0.006939894985407591
0.004609219264239073,0.003211743663996458
