Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,1.2525±0.5108,5.1424±0.2862,1.6382±0.5782,1.5880±0.6148,2.4053
LSTM,2.9821±0.1033,6.3638±0.8494,3.3945±0.9109,1.3683±0.3421,3.5272
XGBoost,9.4711±0.1218,10.8285±0.1279,10.7967±0.8378,4.6507±0.0148,8.9367
Weighted Ensemble,2.3908±0.5312,6.4170±0.5163,2.9902±0.8907,1.1021±0.1369,3.2250
Stacked (LR),1.5009±0.4558,3.6309±3.2863,1.5805±0.8913,0.9619±0.1346,1.9185
Stacked (Ridge),0.7215±0.0957,3.4769±0.3589,1.1551±0.4706,1.2993±0.0918,1.6632
Stacked (EN) ★,0.8676±0.1181,1.2538±0.6493,0.6566±0.2417,1.4479±0.2927,1.0565
