Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,1.6317±0.7262,8.2693±0.5272,2.0708±0.7930,1.8440±0.8518,3.4539
LSTM,4.0785±0.1392,10.3863±1.4993,4.4022±1.2141,1.5084±0.5216,5.0938
XGBoost,13.3219±0.1736,17.8662±0.2129,14.0082±1.0366,6.1134±0.0206,12.8274
Weighted Ensemble,3.2609±0.7666,10.4585±0.9087,3.8819±1.1909,1.2367±0.2482,4.7095
Stacked (LR),1.9292±0.6806,5.3585±5.0519,1.9327±1.1019,1.0672±0.1632,2.5719
Stacked (Ridge),0.8496±0.1355,5.3819±0.6372,1.4183±0.6267,1.5743±0.1339,2.3060
Stacked (EN) ★,0.8966±0.1311,1.8118±0.8982,0.6995±0.2445,1.8101±0.4095,1.3045
