Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,0.8230±0.0505,0.7113±0.0996,0.9416±0.0162,0.7524±0.0968,0.8071
LSTM,0.7460±0.0491,0.8298±0.0267,0.6067±0.3019,0.5856±0.1007,0.6920
XGBoost,0.8086±0.0178,-0.9071±0.0677,0.8208±0.0172,0.7792±0.0257,0.3754
Weighted Ensemble,0.8664±0.0307,0.8777±0.0147,0.9051±0.0578,0.7831±0.0174,0.8581
Stacked (EN) ★,0.7515±0.0682,0.8321±0.0376,0.8654±0.0783,0.7591±0.0537,0.8020
