Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,1.2525 ± 0.5108,5.1424 ± 0.2862,1.6382 ± 0.5782,1.5880 ± 0.6148,2.4053
LSTM,2.9821 ± 0.1033,6.3638 ± 0.8494,3.3945 ± 0.9109,1.3683 ± 0.3421,3.5272
XGBoost,9.3888 ± 0.0973,10.7821 ± 0.0438,10.4597 ± 0.4844,4.6499 ± 0.0301,8.8201
Weighted Ensemble,2.3929 ± 0.5297,6.4148 ± 0.5151,2.9826 ± 0.9005,1.1020 ± 0.1364,3.2231
Stacked (LR),1.4969 ± 0.4941,3.7846 ± 2.6431,1.5937 ± 0.9257,0.9142 ± 0.1351,1.9474
Stacked (Ridge),0.7218 ± 0.0960,3.4765 ± 0.3606,1.1509 ± 0.4762,1.3000 ± 0.0886,1.6623
Stacked (EN) ★,0.8666 ± 0.1168,1.2448 ± 0.6532,0.6636 ± 0.2536,1.4576 ± 0.3293,1.0581
