Battery,WB_RMSE_mean,WB_RMSE_std,WB_MAPE_mean,WB_R2_mean,LOO_RMSE_mean,LOO_RMSE_std,LOO_MAPE_mean,LOO_R2_mean
B0005,0.8676,0.1181,0.8966,0.0683,4.3501,0.621,5.1134,0.7515
B0006,1.2538,0.6493,1.8118,0.5237,3.7359,0.4094,4.5665,0.8321
B0007,0.6566,0.2417,0.6995,0.3738,2.4837,0.8367,2.3904,0.8654
B0018,1.4479,0.2927,1.8101,-0.6883,2.8978,0.3364,2.8009,0.7591
Overall,1.0565,0.4595,1.3045,0.0694,3.3669,0.9066,3.7178,0.802
