Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,3.6722±0.5099,4.8683±0.8603,1.6843±0.2420,2.9146±0.5680,3.2849
LSTM,4.4137±0.4217,3.7692±0.3041,4.0446±2.1294,3.7991±0.4618,4.0066
XGBoost,3.8410±0.1779,12.6409±0.2243,2.9691±0.1441,2.7834±0.1624,5.5586
Weighted Ensemble,3.1972±0.3613,3.1979±0.1893,2.0697±0.7657,2.7605±0.1105,2.8063
Stacked (EN) ★,4.3501±0.6210,3.7359±0.4094,2.4837±0.8367,2.8978±0.3364,3.3669
