Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,1.1530±0.5124,4.9068±0.3170,1.5630±0.5996,1.3738±0.6324,2.2491
LSTM,2.8818±0.0981,6.1747±0.9015,3.3235±0.9175,1.1186±0.3789,3.3746
XGBoost,9.4314±0.1232,10.6399±0.1270,10.5866±0.7837,4.5158±0.0153,8.7934
Weighted Ensemble,2.3042±0.5426,6.2155±0.5460,2.9312±0.9005,0.9149±0.1795,3.0915
Stacked (LR),1.3705±0.4816,3.1745±2.9718,1.4600±0.8319,0.7928±0.1200,1.6994
Stacked (Ridge),0.6014±0.0949,3.1813±0.3795,1.0694±0.4726,1.1615±0.0993,1.5034
Stacked (EN) ★,0.6400±0.0932,1.0693±0.5244,0.5296±0.1849,1.3372±0.3017,0.8940
