Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,4.0786±0.6826,6.1068±1.2022,1.6473±0.3417,2.7532±0.5756,3.6465
LSTM,4.0331±0.2452,4.1316±0.3031,3.9267±2.3322,4.1485±0.7111,4.0600
XGBoost,4.5490±0.2136,16.2693±0.2380,3.0542±0.1759,3.0770±0.2499,6.7374
Weighted Ensemble,3.3358±0.5737,3.8351±0.2641,1.9097±0.7755,2.8556±0.3251,2.9840
Stacked (EN) ★,5.1134±0.5618,4.5665±0.5370,2.3904±0.8575,2.8009±0.5275,3.7178
