Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,-1.1304 ± 1.7446,-5.8115 ± 0.7467,-2.8724 ± 2.6688,-1.1745 ± 1.4146,-2.7472
LSTM,-9.8805 ± 0.7532,-9.5336 ± 2.8123,-15.0886 ± 8.3384,-0.5289 ± 0.7658,-8.7579
XGBoost,-106.7751 ± 2.2326,-28.8828 ± 0.2423,-144.9713 ± 13.4999,-15.9501 ± 0.2191,-74.1448
Weighted Ensemble,-6.2287 ± 3.2974,-9.6226 ± 1.7363,-11.5725 ± 7.2848,0.0382 ± 0.2307,-6.8464
Stacked (LR),-1.9384 ± 1.9596,-3.8788 ± 5.1798,-3.1453 ± 3.2740,0.3352 ± 0.1854,-2.1568
Stacked (Ridge),0.3556 ± 0.1688,-2.1289 ± 0.6380,-0.9660 ± 1.6038,-0.3289 ± 0.1838,-0.7671
Stacked (EN) ★,0.0708 ± 0.2399,0.5286 ± 0.4653,0.3561 ± 0.4938,-0.7222 ± 0.7048,0.0583
