Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,1.6317 ± 0.7262,8.2693 ± 0.5272,2.0708 ± 0.7930,1.8440 ± 0.8518,3.4539
LSTM,4.0785 ± 0.1392,10.3863 ± 1.4993,4.4022 ± 1.2141,1.5084 ± 0.5216,5.0938
XGBoost,13.2051 ± 0.1373,17.7871 ± 0.0689,13.5288 ± 0.4854,6.1112 ± 0.0404,12.6580
Weighted Ensemble,3.2637 ± 0.7647,10.4546 ± 0.9080,3.8710 ± 1.2015,1.2376 ± 0.2461,4.7067
Stacked (LR),1.9285 ± 0.7517,5.6505 ± 4.0851,1.9493 ± 1.1504,1.0323 ± 0.1768,2.6402
Stacked (Ridge),0.8503 ± 0.1358,5.3809 ± 0.6398,1.4102 ± 0.6346,1.5749 ± 0.1293,2.3041
Stacked (EN) ★,0.8949 ± 0.1305,1.7966 ± 0.9055,0.7103 ± 0.2648,1.8146 ± 0.4522,1.3041
