Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,-1.1304±1.7446,-5.8115±0.7467,-2.8724±2.6688,-1.1745±1.4146,-2.7472
LSTM,-9.8805±0.7533,-9.5336±2.8123,-15.0886±8.3384,-0.5289±0.7658,-8.7579
XGBoost,-108.6766±2.8144,-29.1427±0.7144,-154.9319±23.6364,-15.9562±0.1076,-77.1769
Weighted Ensemble,-6.2178±3.3044,-9.6301±1.7413,-11.6174±7.1889,0.0380±0.2317,-6.8568
Stacked (LR),-1.9233±1.7743,-4.2394±7.5218,-3.0336±3.1451,0.2652±0.1995,-2.2328
Stacked (Ridge),0.3561±0.1685,-2.1294±0.6353,-0.9744±1.5858,-0.3279±0.1901,-0.7689
Stacked (EN) ★,0.0683±0.2429,0.5237±0.4623,0.3738±0.4659,-0.6883±0.6410,0.0694
