Model,B0005,B0006,B0007,B0018,Overall_mean
GRU,3.2058±0.4785,4.2964±0.7935,1.3552±0.2941,2.2821±0.4846,2.7849
LSTM,3.4743±0.2948,2.9537±0.1810,3.4195±2.0203,3.2956±0.5131,3.2858
XGBoost,3.5341±0.1634,10.6890±0.1469,2.4439±0.1439,2.4448±0.1861,4.7780
Weighted Ensemble,2.6834±0.3944,2.7433±0.2051,1.6518±0.7107,2.3104±0.2232,2.3472
Stacked (EN) ★,4.1541±0.5256,3.2141±0.3821,2.0553±0.7479,2.3092±0.4010,2.9332
